Date & Time,Carbon Dioxide (PPM),Carbon Monoxide (PPM),Nitrogen Dioxide (PPM),Temperature (Deg C),Humidity (%RH),Barometric Pressure (mb),Relative Pressure (mb)
25/06/2018 - 11:07,363,1.120,62.400,34.540,43.160,906.820,1107.530
25/06/2018 - 11:07,319,1.150,62.390,34.690,43.060,906.790,1107.500
25/06/2018 - 11:08,249,1.160,62.380,34.900,42.770,906.810,1107.520
25/06/2018 - 11:08,309,1.130,62.380,34.990,42.600,906.810,1107.520
25/06/2018 - 11:09,287,1.090,62.350,35.010,42.320,906.670,1107.340
25/06/2018 - 11:09,238,1.090,62.280,34.830,42.360,906.750,1107.450
25/06/2018 - 11:10,268,1.060,62.190,35.030,42.030,906.720,1107.410
25/06/2018 - 11:11,332,1.060,62.160,35.150,41.830,906.730,1107.420
25/06/2018 - 11:11,261,1.080,62.150,35.220,41.780,906.690,1107.370
25/06/2018 - 11:12,315,1.090,62.120,35.450,41.550,906.710,1107.400
25/06/2018 - 11:12,263,1.080,62.140,35.010,41.660,906.760,1107.460
25/06/2018 - 11:13,338,1.120,62.270,34.790,41.940,906.760,1107.460
25/06/2018 - 11:13,185,1.120,62.470,34.340,42.580,906.730,1107.420
25/06/2018 - 11:14,253,1.170,62.450,34.540,42.930,906.720,1107.410
25/06/2018 - 11:14,156,1.140,62.580,34.360,43.190,906.790,1107.490
25/06/2018 - 11:15,191,1.130,62.540,34.700,43.200,906.690,1107.370
25/06/2018 - 11:15,233,1.110,62.440,34.740,43.030,906.660,1107.340
25/06/2018 - 11:16,258,1.110,62.380,34.810,42.970,906.730,1107.420
25/06/2018 - 11:16,285,1.080,62.340,34.700,43.090,906.740,1107.440
25/06/2018 - 11:17,221,1.070,62.310,34.860,42.760,906.690,1107.370
25/06/2018 - 11:17,171,1.160,62.380,34.870,42.790,906.530,1107.180
25/06/2018 - 11:18,308,1.140,62.420,34.800,43.040,906.680,1107.360
25/06/2018 - 11:18,195,1.110,62.340,35.120,42.720,906.620,1107.290
25/06/2018 - 11:19,280,1.110,62.290,35.320,42.260,906.660,1107.330
25/06/2018 - 11:19,197,1.070,62.270,34.950,42.290,906.660,1107.330
25/06/2018 - 11:20,212,1.070,62.270,35.150,42.160,906.650,1107.320
25/06/2018 - 11:20,245,1.170,62.410,34.620,42.550,906.610,1107.280
25/06/2018 - 11:21,282,1.110,62.420,34.930,42.560,906.630,1107.300
25/06/2018 - 11:21,195,1.190,62.330,35.120,42.150,906.580,1107.240
25/06/2018 - 11:22,206,1.110,62.300,34.570,42.760,906.600,1107.260
25/06/2018 - 11:22,306,1.160,62.480,34.010,43.200,906.590,1107.250
25/06/2018 - 11:23,221,1.140,62.520,34.490,43.200,906.650,1107.320
25/06/2018 - 11:23,251,1.140,62.480,34.590,43.130,906.640,1107.310
25/06/2018 - 11:24,247,1.120,62.490,34.490,43.190,906.590,1107.250
25/06/2018 - 11:24,416,1.320,62.700,33.920,43.340,906.560,1107.220
25/06/2018 - 11:25,290,1.310,62.780,34.510,43.410,906.580,1107.230
25/06/2018 - 11:26,274,1.190,62.610,35.090,42.720,906.560,1107.220
25/06/2018 - 11:26,418,1.130,62.540,35.090,42.450,906.530,1107.180
25/06/2018 - 11:27,260,1.140,62.440,35.200,42.260,906.590,1107.250
25/06/2018 - 11:27,272,1.110,62.380,35.270,41.990,906.570,1107.230
25/06/2018 - 11:28,297,1.140,62.410,35.470,41.700,906.550,1107.200
25/06/2018 - 11:28,259,1.300,62.390,35.530,41.520,906.600,1107.260
25/06/2018 - 11:29,232,1.190,62.540,34.720,42.100,906.570,1107.230
25/06/2018 - 11:29,284,1.180,62.510,35.180,42.340,906.570,1107.230
25/06/2018 - 11:30,285,1.220,62.490,35.140,42.430,906.570,1107.220
25/06/2018 - 11:30,290,1.170,62.450,35.290,42.340,906.700,1107.380
25/06/2018 - 11:31,255,1.150,62.420,35.500,42.220,906.600,1107.260
25/06/2018 - 11:31,275,1.150,62.390,35.590,41.970,906.680,1107.360
25/06/2018 - 11:32,194,1.160,62.360,35.760,41.610,906.560,1107.210
25/06/2018 - 11:32,213,1.130,62.320,35.730,41.520,906.530,1107.180
25/06/2018 - 11:33,383,1.150,62.290,35.580,41.620,906.560,1107.210
25/06/2018 - 11:33,331,1.180,62.410,35.150,41.920,906.540,1107.190
25/06/2018 - 11:34,243,1.220,62.480,35.370,41.970,906.610,1107.280
25/06/2018 - 11:34,262,1.180,62.530,35.210,41.890,906.520,1107.160
25/06/2018 - 11:35,278,1.150,62.560,35.150,42.030,906.540,1107.190
25/06/2018 - 11:36,197,1.190,62.550,35.160,42.120,906.550,1107.200
25/06/2018 - 11:36,277,1.150,62.530,35.020,42.240,906.500,1107.140
25/06/2018 - 11:37,233,1.150,62.500,35.390,41.810,906.540,1107.190
25/06/2018 - 11:37,378,1.110,62.490,34.820,41.980,906.540,1107.190
25/06/2018 - 11:38,194,1.190,62.530,35.330,42.190,906.510,1107.160
25/06/2018 - 11:39,217,1.210,62.510,35.630,41.900,906.500,1107.140
25/06/2018 - 11:39,355,1.220,62.500,35.550,41.650,906.460,1107.090
25/06/2018 - 11:41,204,1.210,62.490,35.690,41.180,906.410,1107.030
25/06/2018 - 11:41,241,1.220,62.510,35.920,41.190,906.440,1107.070
25/06/2018 - 11:42,286,1.180,62.480,35.700,41.200,906.510,1107.160
25/06/2018 - 11:42,288,1.160,62.460,36.010,40.910,906.450,1107.080
25/06/2018 - 11:43,274,1.140,62.410,36.040,40.640,906.380,1106.990
25/06/2018 - 11:43,220,1.120,62.390,35.380,40.980,906.530,1107.180
25/06/2018 - 11:44,193,1.110,62.370,35.720,41.000,906.470,1107.100
25/06/2018 - 11:44,253,1.100,62.370,35.350,41.330,906.560,1107.210
25/06/2018 - 11:45,308,1.130,62.400,35.600,41.230,906.450,1107.070
25/06/2018 - 11:45,311,1.130,62.480,35.140,41.580,906.520,1107.160
25/06/2018 - 11:46,251,1.130,62.500,34.800,41.740,906.450,1107.070
25/06/2018 - 11:46,260,1.180,62.530,35.330,41.780,906.510,1107.160
25/06/2018 - 11:47,293,1.180,62.530,35.660,41.350,906.480,1107.110
25/06/2018 - 11:47,356,1.140,62.500,35.780,40.940,906.430,1107.060
25/06/2018 - 11:48,223,1.110,62.450,35.520,40.890,906.470,1107.110
25/06/2018 - 11:48,348,1.150,62.430,35.520,41.090,906.440,1107.070
25/06/2018 - 11:49,225,1.150,62.440,35.500,41.120,906.450,1107.070
25/06/2018 - 11:50,296,1.220,62.430,35.580,40.880,906.400,1107.020
25/06/2018 - 11:51,239,1.180,62.420,35.390,41.090,906.410,1107.030
25/06/2018 - 11:51,228,1.220,62.440,35.590,41.050,906.370,1106.980
25/06/2018 - 11:52,243,1.360,62.630,35.550,41.250,906.380,1107.000
25/06/2018 - 11:52,255,1.390,62.700,35.640,41.200,906.480,1107.110
25/06/2018 - 11:53,343,1.360,62.770,35.170,41.620,906.390,1107.000
25/06/2018 - 11:53,343,1.260,62.830,35.290,41.780,906.260,1106.840
25/06/2018 - 11:54,291,1.220,62.670,35.410,41.750,906.340,1106.940
25/06/2018 - 11:54,223,1.190,62.620,35.530,41.710,906.320,1106.920
25/06/2018 - 11:55,248,1.210,62.580,35.560,41.690,906.340,1106.950
